# source $REVIEWS/532-r267-4-packet/scratch/tree/scripts/act_slot_proof.sh sha256 939c76db3365fe6a6ef3b6fe08c7a219934bb8f0bf19842d3b3aaa26b09ba1bd mode user
Q00	SURVIVED	rc=0	control: a comment line only	failed-cases=-	act_slot_proof selftest: PASS (44 cases)
Q01	KILLED	rc=1	slot-number check removed	failed-cases=slot A is not a number	act_slot_proof selftest: 1 FAILURE(S)
Q02	KILLED	rc=1	slots A and B may be equal	failed-cases=slots A and B are the same slot	act_slot_proof selftest: 1 FAILURE(S)
Q03	KILLED	rc=1	slot A may be 0	failed-cases=slot A is slot 0	act_slot_proof selftest: 1 FAILURE(S)
Q04	KILLED	rc=1	slot B may be 0	failed-cases=slot B is slot 0	act_slot_proof selftest: 1 FAILURE(S)
Q05	SURVIVED	rc=0	required-argument check removed (input validation)	failed-cases=-	act_slot_proof selftest: PASS (44 cases)
Q06	KILLED	rc=1	runner digest not compared	failed-cases=the runner is not the recorded digest	act_slot_proof selftest: 1 FAILURE(S)
Q07	KILLED	rc=1	runner write-bit check removed	failed-cases=the runner install is group-writable	act_slot_proof selftest: 1 FAILURE(S)
Q08	SURVIVED	rc=0	non-root writability check removed (documented as unstaged)	failed-cases=-	act_slot_proof selftest: PASS (44 cases)
Q09	KILLED	rc=1	non-empty log directory accepted	failed-cases=the log directory is not empty	act_slot_proof selftest: 1 FAILURE(S)
Q10	KILLED	rc=1	interrupt gate ignores the runner's exit status	failed-cases=the interrupt gate passes and is then refused	act_slot_proof selftest: 1 FAILURE(S)
Q11	KILLED	rc=1	interrupt gate needs no PASS line	failed-cases=the interrupt gate prints no PASS line	act_slot_proof selftest: 1 FAILURE(S)
Q12	KILLED	rc=1	interrupt gate needs no slot teardown line	failed-cases=the interrupt gate ignores its slot	act_slot_proof selftest: 1 FAILURE(S)
Q13	KILLED	rc=1	interrupt gate not run in slot A	failed-cases=honest, where PR B fails its second workflow	act_slot_proof selftest: 1 FAILURE(S)
Q14	KILLED	rc=1	complete: a FAILED run need not exit 1	failed-cases=a run fails a workflow and is then refused	act_slot_proof selftest: 1 FAILURE(S)
Q15	KILLED	rc=1	complete: an all-PASS run need not exit 0	failed-cases=a run passes every workflow and is then refused	act_slot_proof selftest: 1 FAILURE(S)
Q16	KILLED	rc=1	complete: a prefix of the PASS lines is enough	failed-cases=a run stops before its last workflow	act_slot_proof selftest: 1 FAILURE(S)
Q17	KILLED	rc=1	complete always true	failed-cases=every run refuses after taking its slot; a run stops before its last workflow; a run passes every workflow and is then refused; a run fails a workflow and is then refused; a parallel run refuses like its serial reference; a collision holder refuses like its serial reference	act_slot_proof selftest: 6 FAILURE(S)
Q18	KILLED	rc=1	serial reference always PASS	failed-cases=every run refuses after taking its slot; a run stops before its last workflow; a run passes every workflow and is then refused; a run fails a workflow and is then refused	act_slot_proof selftest: 4 FAILURE(S)
Q19	KILLED	rc=1	parallel comparison ignores completion	failed-cases=a parallel run refuses like its serial reference	act_slot_proof selftest: 1 FAILURE(S)
Q20	KILLED	rc=1	same_verdict always true	failed-cases=slot A changes a verdict; slot B changes a verdict; the collision holder changes its verdict	act_slot_proof selftest: 3 FAILURE(S)
Q21	KILLED	rc=1	parallel comparison ignores the verdict	failed-cases=slot A changes a verdict; slot B changes a verdict	act_slot_proof selftest: 2 FAILURE(S)
Q22	KILLED	rc=1	await_holder returns at once	failed-cases=honest, where PR B fails its second workflow; the parallel runs never overlap; neither run reports its own slot daemon; run A dies before taking slot A while run B holds slot B; run B dies before taking slot B while run A holds slot A; run A is refused after taking slot A, before run B takes slot B; run B is refused after taking slot B, before run A takes slot A	act_slot_proof selftest: 7 FAILURE(S)
Q23	KILLED	rc=1	await_holder accepts the generic running marker for a slot	failed-cases=neither run reports its own slot daemon	act_slot_proof selftest: 1 FAILURE(S)
Q24	SURVIVED	rc=0	await_holder has no early exit on an ended run (liveness only)	failed-cases=-	act_slot_proof selftest: PASS (44 cases)
Q25	KILLED	rc=1	overlap: run A may have ended	failed-cases=run A is refused after taking slot A, before run B takes slot B	act_slot_proof selftest: 1 FAILURE(S)
Q26	KILLED	rc=1	overlap: run B may have ended	failed-cases=the parallel runs never overlap; run B is refused after taking slot B, before run A takes slot A	act_slot_proof selftest: 2 FAILURE(S)
Q27	KILLED	rc=1	overlap: run B need not hold its slot	failed-cases=the parallel runs never overlap; run B dies before taking slot B while run A holds slot A	act_slot_proof selftest: 2 FAILURE(S)
Q28	KILLED	rc=1	overlap: run A need not hold its slot	failed-cases=run A dies before taking slot A while run B holds slot B	act_slot_proof selftest: 1 FAILURE(S)
Q29	KILLED	rc=1	ended always false	failed-cases=the parallel runs never overlap; run A is refused after taking slot A, before run B takes slot B; run B is refused after taking slot B, before run A takes slot A; the rival is refused only after the holder left	act_slot_proof selftest: 4 FAILURE(S)
Q30	KILLED	rc=1	ended ignores a refusal	failed-cases=run A is refused after taking slot A, before run B takes slot B; run B is refused after taking slot B, before run A takes slot A	act_slot_proof selftest: 2 FAILURE(S)
Q31	KILLED	rc=1	ended ignores verdicts	failed-cases=the parallel runs never overlap; the rival is refused only after the holder left	act_slot_proof selftest: 2 FAILURE(S)
Q32	KILLED	rc=1	collision: rival started without waiting for the holder (sequencing only)	failed-cases=honest, where PR B fails its second workflow	act_slot_proof selftest: 1 FAILURE(S)
Q33	KILLED	rc=1	collision: rival may be refused after the holder ended	failed-cases=the rival is refused only after the holder left	act_slot_proof selftest: 1 FAILURE(S)
Q34	KILLED	rc=1	collision: rival exit status not checked	failed-cases=the rival names the slot lock but exits 1	act_slot_proof selftest: 1 FAILURE(S)
Q35	KILLED	rc=1	collision: refusal reason not checked	failed-cases=the rival is refused for another reason; the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 2 FAILURE(S)
Q36	KILLED	rc=1	collision: holder need not complete	failed-cases=a collision holder refuses like its serial reference	act_slot_proof selftest: 1 FAILURE(S)
Q37	KILLED	rc=1	collision: holder verdict not compared	failed-cases=the collision holder changes its verdict	act_slot_proof selftest: 1 FAILURE(S)
Q38	KILLED	rc=1	slot-A collision accepts any refusal	failed-cases=the rival is refused for another reason	act_slot_proof selftest: 1 FAILURE(S)
Q39	KILLED	rc=1	slot-0 collision accepts any refusal	failed-cases=the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 1 FAILURE(S)
Q40	KILLED	rc=1	slot-0 collision removed	failed-cases=honest, where PR B fails its second workflow; the shared daemon does not collide; the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 3 FAILURE(S)
Q41	KILLED	rc=1	slot-A collision removed	failed-cases=honest, where PR B fails its second workflow; the slot lock is missing; the rival is refused only after the holder left; the rival is refused for another reason; the rival names the slot lock but exits 1; the collision holder changes its verdict; a collision holder refuses like its serial reference	act_slot_proof selftest: 7 FAILURE(S)
Q42	KILLED	rc=1	isolation: the slot's own view not checked	failed-cases=a slot reaches the default daemon's container; only slot B reaches the default daemon's container; a slot reaches the container's published port; a slot cannot reach the probe name	act_slot_proof selftest: 4 FAILURE(S)
Q43	KILLED	rc=1	isolation: the host's view not checked	failed-cases=the isolation target is dead; the host cannot reach the container; the host cannot reach the published port while the container answers	act_slot_proof selftest: 3 FAILURE(S)
Q44	KILLED	rc=1	isolation: the probe name need not answer	failed-cases=a slot cannot reach the probe name	act_slot_proof selftest: 1 FAILURE(S)
Q45	KILLED	rc=1	isolation: the published port may be reached from the slot	failed-cases=a slot reaches the container's published port	act_slot_proof selftest: 1 FAILURE(S)
