# head act_ci.py sha256 e8bf06d297b64f08cfd2431977875b786ce0ae18eed29bd3fc4fecd74f8de3dc mode root mutants 57
control trailing comment	SURVIVED	rc=0	-
R266 slot-root-validation-unwired	KILLED	rc=1	FAIL acquiring a slot whose root has a user-owned parent refuses before the lock or any host command
R266 cpu-range-boundary	KILLED	rc=1	FAIL slot 2 needs CPU 11: an 11-CPU host (CPUs 0-10) refuses it, a 12-CPU host gives it exactly 8-11
R266 nft-query-error-reads-absent	KILLED	rc=1	FAIL a residue query that cannot answer (firewall-query) refuses the slot before any mutation instead of reading as absent
R266 runtime-dir-absence-dropped	KILLED	rc=1	FAIL a surviving runtime directory makes teardown refuse, naming it and the recovery, while every other teardown step and the unlock still run
R266 uplink-pidfile-absence-dropped	KILLED	rc=1	FAIL a surviving uplink PID file makes teardown refuse, naming it and the recovery, while every other teardown step and the unlock still run
R266 slice-cgroup-absence-dropped	KILLED	rc=1	FAIL a surviving slice cgroup makes teardown refuse, naming it and the recovery, while every other teardown step and the unlock still run
R266 slot-teardown-signals-unblocked	KILLED	rc=1	FAIL every slot teardown command runs with SIGINT, SIGTERM and SIGHUP blocked, so a repeated signal cannot cut it short, while acquisition ran with them unblocked
R266 slice-residue-only-active	KILLED	rc=1	FAIL a slice unit left in any state but the absent one (failed, activating, deactivating, reloading, maintenance) is residue, not a clean slot
R266 unit-state-query-failure-reads-absent	KILLED	rc=1	FAIL a teardown proof whose query cannot answer (show-LoadState-daemon@2) refuses the run, naming the query, while every removal and the unlock still run
R266 dropin-query-failure-ignored	KILLED	rc=1	FAIL a teardown proof whose query cannot answer (show-DropInPaths-slice) refuses the run, naming the query, while every removal and the unlock still run
R266 path-present-ignores-dangling-symlink	KILLED	rc=1	FAIL a dangling symlink occupies a slot path, as a file does; only nothing is absent
R266 interrupt-selftest-outside-slot	KILLED	rc=1	FAIL the live gate enters its slot, with that slot's own endpoint, before it resolves act
R266 identity-labels-unchecked	KILLED	rc=1	FAIL a slot daemon reporting another invocation's token refuses and the slot is torn down
R266 live-selftest-inherited-refusal-dropped	KILLED	rc=1	FAIL an inherited DOCKER_CONFIG refuses the PR run, dry run and both live self-tests before any collaborator runs
R266 pr-run-inherited-refusal-dropped	KILLED	rc=1	FAIL an inherited DOCKER_CONFIG refuses the PR run, dry run and both live self-tests before any collaborator runs
R266 lock-blocking	KILLED	rc=124	-
R266 lock-follows-symlink	KILLED	rc=1	FAIL a slot lock path that is a symlink is not followed
R266 firewall-reject-loopback-only	KILLED	rc=1	FAIL the slot firewall is one new table rejecting the slot cgroup's traffic to host-local addresses and out of any interface but the uplinks, created whole or not at all
R266 uplink-maps-gateway	KILLED	rc=1	FAIL the uplink is socket-level NAT in the slot namespace: no inbound or outbound port forward and no gateway mapped to host loopback
R266 slot-endpoint-range-unchecked	KILLED	rc=1	FAIL the endpoint parser itself refuses unix:///run/milan-act-slot-64/docker.sock
R266 teardown-daemon-after-slice	KILLED	rc=1	FAIL teardown stops the daemon, uplink and slice, reverts the cap, deletes the table and namespace, proves each gone, then unlocks
R267 R01 live interrupt self-test silently runs in slot 0	KILLED	rc=1	FAIL --interrupt-selftest --slot 2 runs the live gate in slot 2 on its slot root, never silently in slot 0
R267 R02 interrupt self-test never enters its slot	KILLED	rc=1	FAIL the live gate enters its slot, with that slot's own endpoint, before it resolves act
R267 R03 daemon runtime directory absence not proved	KILLED	rc=1	FAIL a surviving runtime directory makes teardown refuse, naming it and the recovery, while every other teardown step and the unlock still run
R267 R04 uplink pidfile absence not proved	KILLED	rc=1	FAIL a surviving uplink PID file makes teardown refuse, naming it and the recovery, while every other teardown step and the unlock still run
R267 R05 uplink unload not proved	KILLED	rc=1	FAIL a surviving uplink unit makes teardown refuse, naming it and the recovery, while every other teardown step and the unlock still run
R267 R06 slice inactivity not proved	KILLED	rc=1	FAIL teardown stops the daemon, uplink and slice, reverts the cap, deletes the table and namespace, proves each gone, then unlocks
R267 R07 slice cgroup absence not proved	KILLED	rc=1	FAIL a surviving slice cgroup makes teardown refuse, naming it and the recovery, while every other teardown step and the unlock still run
R267 R08 an unanswerable nft query is read as table absent	KILLED	rc=1	FAIL a residue query that cannot answer (firewall-query) refuses the slot before any mutation instead of reading as absent
R267 R09 slot root never validated on acquisition	KILLED	rc=1	FAIL acquiring a slot whose root has a user-owned parent refuses before the lock or any host command
R267 R10 production lock accepts the invoking user's file	KILLED	rc=1	FAIL the production slot lock accepts only a root-owned file: its owner default is the literal 0, never the invoking user
R267 R11 privileged host commands may prompt (no -n)	KILLED	rc=1	FAIL a slot host command runs as `sudo -n --`, never prompting, from / with only a fixed PATH and locale, under the default bound
R267 R12 slot teardown without blocked cleanup signals	KILLED	rc=1	FAIL every slot teardown command runs with SIGINT, SIGTERM and SIGHUP blocked, so a repeated signal cannot cut it short, while acquisition ran with them unblocked
R267 R13 residue ignores an active slice	KILLED	rc=1	FAIL each residue of a dead invocation (namespace, runtime directory, uplink pidfile, daemon unit, uplink unit, active slice, table) refuses before any mutation, is named with the recovery commands an
