# source scratch/tree-604297bb/scripts/act_slot_proof.sh sha256 3cffa803fc6dd2dad0904f59970570d4e52c372c250a496cb83236db504fe4d7 mode user
Q42	KILLED	rc=1	isolation: the slot's own view not checked	failed-cases=a slot reaches the default daemon's container; a slot reaches the container's published port; a slot cannot reach the probe name	act_slot_proof selftest: 3 FAILURE(S)
Q43	KILLED	rc=1	isolation: the host's view not checked	failed-cases=the isolation target is dead; the host cannot reach the container; the host cannot reach the published port while the container answers	act_slot_proof selftest: 3 FAILURE(S)
Q44	KILLED	rc=1	isolation: the probe name need not answer	failed-cases=a slot cannot reach the probe name	act_slot_proof selftest: 1 FAILURE(S)
Q45	KILLED	rc=1	isolation: the published port may be reached from the slot	failed-cases=a slot reaches the container's published port	act_slot_proof selftest: 1 FAILURE(S)
Q46	KILLED	rc=1	isolation probed from the host namespace instead of the slot	failed-cases=honest, where PR B fails its second workflow	act_slot_proof selftest: 1 FAILURE(S)
Q47	KILLED	rc=1	target start failure not recorded	failed-cases=the isolation target cannot be started	act_slot_proof selftest: 1 FAILURE(S)
Q48	KILLED	rc=1	target start ignores a failed docker run	failed-cases=the isolation target cannot be started	act_slot_proof selftest: 1 FAILURE(S)
Q49	SURVIVED	rc=0	target start: empty address check removed (masked by host reach)	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q50	KILLED	rc=1	target removal ignores a surviving container	failed-cases=the isolation container survives removal; the isolation target cannot be queried after removal	act_slot_proof selftest: 2 FAILURE(S)
Q51	KILLED	rc=1	target removal ignores a surviving network	failed-cases=the isolation network survives removal	act_slot_proof selftest: 1 FAILURE(S)
Q52	KILLED	rc=1	a failed container query reads as absent	failed-cases=the isolation target cannot be queried after removal	act_slot_proof selftest: 1 FAILURE(S)
Q53	SURVIVED	rc=0	a failed network query reads as absent	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q54	KILLED	rc=1	explicit target removal moved to the exit trap only	failed-cases=the isolation container survives removal; the isolation network survives removal; the isolation target cannot be queried after removal	act_slot_proof selftest: 3 FAILURE(S)
Q55	KILLED	rc=1	PROVED needs no FAIL-free summary (count only)	failed-cases=the isolation container survives removal; the isolation network survives removal; the isolation target cannot be queried after removal	act_slot_proof selftest: 3 FAILURE(S)
Q56	SURVIVED	rc=0	PROVED needs no ten-PASS count (documented backstop)	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q57	KILLED	rc=1	a failed proof exits 0	failed-cases=every run refuses after taking its slot; a run stops before its last workflow; a run passes every workflow and is then refused; a run fails a workflow and is then refused; a parallel run refuses like its serial reference; the interrupt gate ignores its slot; the interrupt gate prints no PASS line; the interrupt gate passes and is then refused; a slot changes a verdict; the parallel runs never overlap; a run never reports its own slot daemon; a run is refused before the other slot is taken; the isolation target cannot be started; a slot reaches the default daemon's container; a slot reaches the container's published port; a slot cannot reach the probe name; the isolation target is dead; the host cannot reach the container; the host cannot reach the published port while the container answers; the isolation container survives removal; the isolation network survives removal; the isolation target cannot be queried after removal; the slot lock is missing; the rival is refused only after the holder left; the rival is refused for another reason; the rival names the slot lock but exits 1; the collision holder changes its verdict; a collision holder refuses like its serial reference; the shared daemon does not collide; the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 30 FAILURE(S)
Q58	KILLED	rc=1	runner install never verified	failed-cases=the runner is not the recorded digest; the runner install is group-writable; the log directory is not empty	act_slot_proof selftest: 3 FAILURE(S)
Q59	SURVIVED	rc=0	runs are not pinned to the audited digest (runner-side check, not modelled)	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q60	KILLED	rc=1	runs are not placed in their slots	failed-cases=honest, where PR B fails its second workflow; a slot changes a verdict; a slot reaches the default daemon's container; a slot reaches the container's published port; a slot cannot reach the probe name; the isolation target is dead; the host cannot reach the container; the host cannot reach the published port while the container answers; the slot-0 rival is refused for neither the tool cache nor a job volume	act_slot_proof selftest: 9 FAILURE(S)
Q61	SURVIVED	rc=0	slot B's parallel verdict not compared with its serial reference	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
Q62	SURVIVED	rc=0	slot B's isolation view not checked	failed-cases=-	act_slot_proof selftest: PASS (38 cases)
