label	exit	seconds	argv	last stdout line
public-issue	0	0.942	["gh", "issue", "view", "439", "--repo", "kebag-logic/milan-fpga", "--json", "number,title,body,state,comments,projectItems"]	{"body":"[A10] Opened so the residue named on docs/testing/CI_WORKFLOWS.md has a tracker of its own, raised by the review of PR #431 (issue #406).\n\n## What is pinned today and what is not\n\nPR #431 pins the STEP SEQUENCE of the seven jobs of the RTL workflow: their recognised steps, in order, refused when one is inserted, removed or reordered. Where no specialized script pin applies, it does not pin the CONTENT: a recognised command may change while the sequence stays intact. The sibling full-ci-gate SHA-pin step also lacks a content pin, as measured and added to this scope by the decision below.\n\nThe four non-RTL carriers have the matching work scoped on #407, which is titled for those carriers and covers only them. The RTL half was previously said to ride #295's widened acceptance row; #295 is closed, so the RTL half currently has no tracker. That is the gap this issue fills.\n\nAdditional settled scope: [full-ci-gate SHA-pin decision](https://github.com/kebag-logic/milan-fpga/issues/439#issuecomment-5772547851).\n\n## Objective\n\nA recognised step of an RTL job, and the sibling full-ci-gate SHA-pin step, cannot change what it runs without the pin refusing, in the same shape the four carriers get on #407.\n\n## Acceptance\n\n1. Every recognised step of the seven RTL jobs, plus full-ci-gate's \"Print the event and pin the one SHA this run validates\" run step, carries a content pin, in whatever form the carriers' pin takes when #407 lands, so the two halves read the same way.\n2. A changed command in a recognised step is refused by name, and the refusal names the job and the step.\n3. The pin cannot pass vacuously: an empty content record and a step whose recorded content no longer exists are each refused, each with an arm.\n4. The pristine tree stays green and the arm count does not fall.\n5. The SHA-pin controls reject deleting the checkout-HEAD mismatch assertion, replacing its exit 1 with true, and swallowing each normalized line. Matching legitimate script/record maintenance stays possible. The policy accurately describes both the seven-job and sibling-step coverage.\n\n## Authority and scope\n\ndocs/testing/CI_WORKFLOWS.md items 4 and 12; the step-sequence table PR #431 adds to scripts/ci_events.py; #407 for the carrier half. Out of scope: the step sequence itself, which #406 closes, and the membership authority of the table, which #406's review also raised and its lane answers.\n\nLane and review: unassigned. Not on the October critical path; it is the second half of a contract whose first half is landing now.","comments":[{"id":"IC_kwDOP42Xbc8AAAABWBIXCw","author":{"login":"Mister-M-alt"},"authorAssociation":"MEMBER","body":"[A10] SCOPE DECISION BEFORE TAKEOVER - include the sibling SHA-pin step\n\n[PR505 R220-2 F3](https://github.com/kebag-logic/milan-fpga/pull/505#issuecomment-5772521129) measured one additional unpinned script outside the seven RTL jobs: full-ci-gate step 2, \"Print the event and pin the one SHA this run validates\". Deleting its checkout-HEAD mismatch assertion or replacing exit 1 with true leaves ci_events --check green. The other 11 sibling run steps reject the measured replacement/swallowing controls. [Independent p7/p11 receipts](https://github.com/kebag-logic/milan-fpga/tree/841d969d65a52b9ac0ec5c6012c32cd5ff3abd67/review-evidence/505-r1/round2/reviews/R220-2).\n\nThis issue is Ready and has no executor, implementation branch or frozen active lane. Expand its future scope to cover that single SHA-pin step alongside the seven RTL jobs already listed. Use the same canonical normalized-script policy as #407, with named first-differing-line refusals, matching maintenance updates and nonvacuous controls. At minimum, the SHA-pin controls must reject deleting the mismatch assertion, replacing exit 1 with true, and swallowing each normalized line; a matching legitimate record/script edit must remain possible. Existing specialized pins and step/membership authority remain unchanged.\n\nThis records the pre-existing executable gap; PR505's F3 is the separate inaccurate residue sentence and must be corrected there. No acceptance criterion of the active #407 lane changes. Do not claim this gap closed until #439 implements and validates the pin. The older \"machine-checked\" policy wording must then describe the actual scope accurately.\n","createdAt":"2026-09-22T07:10:01Z","includesCreatedEdit":false,"isMinimized":false,"minimizedReason":"","reactionGroups":[],"url":"https://github.com/kebag-logic/milan-fpga/issues/439#issuecomment-5772547851","viewerDidAuthor":true},{"id":"IC_kwDOP42Xbc8AAAABWKn6Jw","author":{"login":"Mister-M-alt"},"authorAssociation":"MEMBER","body":"[A10] READY TAKEOVER AND PARALLEL SOURCE-LANE DECISION\n\nThe scope remains the [settled seven-RTL-job plus sibling SHA-pin contract](https://github.com/kebag-logic/milan-fpga/issues/439#issuecomment-5772547851). #407 is landed and supplies the canonical normalized-script policy. A181 Codex takes the free isolated author slot; cleared internal R254 Codex and external R255 Opus are assigned before implementation. External availability remains pending and no review is waived.\n\nStarting dev is `483a133ed08867ea0d300d2b4a027b5b48a4282f`. The previous manager scheduling hold behind #504 is narrowed to final integration. PR #521 source is frozen at `3d90958f3a82ca2a9617112c107a22f332117e17`: its ci_events edits concern the non-RTL builder carrier SDK steps/controls; its policy addition is the SDK section. #439 owns RTL script-content records/controls and the separately identified remaining-gap wording. These share files, so do not edit or borrow the active #504 lane. Use a separate issue branch from dev, preserve all carrier records and specialize only the accepted RTL content scope. After #504 lands, any shared-artifact composition must receive full current-dev candidate validation and fresh applicable review coverage. No speculative final candidate, hidden contract union or early merge is authorized.\n\nValidation: pristine ci_events --check/--selftest, per-step content changes refused with job/step/first differing normalized line, missing/empty/stale canonical records, every normalized-line swallowing control, the named SHA mismatch assertion deletions/true replacement, matching legitimate record-and-script maintenance, and all existing populations preserved. Use the default self-test owner, relevant docs/idiom/evidence/fail-fast checks and exact source integrity. Manager owns full local/native, trusted act, mandatory hosted, independent reviews and final merge/post-merge bar. No workflow schedule, membership authority, normalization semantics, processor pin, product behavior or hardware change is in scope.\n","createdAt":"2026-09-22T19:17:24Z","includesCreatedEdit":false,"isMinimized":false,"minimizedReason":"","reactionGroups":[],"url":"https://github.com/kebag-logic/milan-fpga/issues/439#issuecomment-5782501927","viewerDidAuthor":true}],"number":439,"projectItems":[{"status":{"optionId":"47fc9ee4","name":"In progress"},"title":"Road to milan v1.2 Task"}],"state":"OPEN","title":"[CI] Pin remaining RTL workflow scripts, including the full-ci-gate SHA assertion"}
public-pr521	0	1.153	["gh", "pr", "diff", "521", "--repo", "kebag-logic/milan-fpga"]	+    main()
baseline-check	0	0.167	["python3", "scripts/ci_events.py", "--check"]	ci_events: OK (1513 contract item(s) across 4 workflow files and docs/testing/CI_WORKFLOWS.md)
baseline-selftest	0	6.995	["python3", "scripts/ci_events.py", "--selftest"]	selftest: PASS (1513 contract items, 1150 arms)
taken-comment	0	1.170	["gh", "issue", "comment", "439", "--repo", "kebag-logic/milan-fpga", "--body-file", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/TAKEN.md"]	https://github.com/kebag-logic/milan-fpga/issues/439#issuecomment-5782545395
baseline-sha-controls	1	0.170	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/sha_controls.py"]	explicit SHA controls: 0/2 caught
baseline-integrity	0	0.174	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/integrity.py", "baseline"]	manifest=$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/baseline-integrity.json sha256=77bb4eb7d05a365eaa8e7cb61c0003ccefbb48293a2ec2b7fbaf61ec69411f89
add-records	0	0.233	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/add_records.py"]	Recorded 38 run scripts; reused specialized constants and 4 shared RTL scripts
first-check	0	0.174	["python3", "scripts/ci_events.py", "--check"]	ci_events: OK (1589 contract item(s) across 4 workflow files and docs/testing/CI_WORKFLOWS.md)
first-selftest	0	13.723	["python3", "scripts/ci_events.py", "--selftest"]	selftest: PASS (1589 contract items, 2135 arms)
py-idiom	2	0.054	["python3", "scripts/check_py_idiom.py", "--check"]	
docs-check	0	3.806	["python3", "scripts/docs_check.py"]	docs_check: 0 finding(s) across 163 md files + 827 scrubbed text files, scrub self-test 23/23, routing arms 4/4 [git ls-files]
mutation-omit-call	1	10.748	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/mutate_validator.py", "omit-call"]	selftest: 1407 FAILURE(S)
