# r267-2-proof-mutants.py: 14 entries; head proof sha256 939c76db3365fe6a6ef3b6fe08c7a219934bb8f0bf19842d3b3aaa26b09ba1bd; mode user
P00 no-op control: a comment word changes	SURVIVED	rc=0	-
P01 isolation: the slot's internet reachability is no longer required	KILLED	rc=1	a slot cannot reach the probe name
P02 slot-0 collision: any refusal counts, not act's global names	KILLED	rc=1	the slot-0 rival is refused for neither the tool cache nor a job volume
P03 complete: a run that printed every PASS counts whatever its exit status	KILLED	rc=1	a run passes every workflow and is then refused
P04 complete: a run whose FAILED line is followed by any exit status counts	KILLED	rc=1	a run fails a workflow and is then refused
P05 verify_runner: the recorded digest is not compared	KILLED	rc=1	the runner is not the recorded digest
P06 verify_runner: a writable runner install is accepted	KILLED	rc=1	the runner install is group-writable
P07 verify_runner: a non-empty log directory is accepted	KILLED	rc=1	the log directory is not empty
P08 isolation: the host-side reachability of both targets is not required (expected KILLED)	KILLED	rc=1	the isolation target is dead; the host cannot reach the container; the host cannot reach the published port while the container answers
P09 overlap: neither run is required to be still unended (expected KILLED)	KILLED	rc=1	the parallel runs never overlap; run A is refused after taking slot A, before run B takes slot B; run B is refused after taking slot B, before run A takes slot A
P10 collide: a rival refused after the holder ended still counts (expected KILLED)	KILLED	rc=1	the rival is refused only after the holder left
P11 remove_target: a surviving target network is not reported	KILLED	rc=1	the isolation network survives removal; the isolation network cannot be queried after removal
P12 parse_arguments: slot A may equal slot B or be slot 0	KILLED	rc=1	slots A and B are the same slot; slot A is slot 0; slot B is slot 0
P13 interrupt gate: the runner's PASS line is not required	KILLED	rc=1	the interrupt gate prints no PASS line
# head proof after run sha256 939c76db3365fe6a6ef3b6fe08c7a219934bb8f0bf19842d3b3aaa26b09ba1bd EXACT
