# source act_ci.py sha256 f27af88bc8849d24609f6d9a8dfac71b1d12180d56ef1dda3ffaa6a4d4bff005 mode user
S00	SURVIVED	rc=0	control: a comment line only	failed-arms=-	act-ci: interrupted by SIGHUP after cleanup
S01	KILLED	rc=1	a missing max count read as 0	failed-arms=a slot with events without a max count is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked	act-ci: interrupted by SIGHUP after cleanup
S02	KILLED	rc=1	the cap-hit count taken from oom	failed-arms=a slot whose cap caused no OOM passes, printing its peak and how often the cap was hit, and reads only the slice's own events, never those of a container's limit below it || a slot with events without a max count is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a FAILED run whose slice sat at its cap without an OOM keeps its FAILED, since only an OOM is refused, and reports the peak at the cap and how often it was hit	act-ci: interrupted by SIGHUP after cleanup
S03	KILLED	rc=1	a slice at its cap without an OOM refused	failed-arms=acquisition locks the slot, proves it clean, then creates the namespace, memory cap, uplink, firewall and daemon in that order and verifies the daemon || teardown stops the daemon, uplink and slice, reverts the cap, deletes the table and namespace, proves each gone, then unlocks || the firewall allows exactly the interfaces this host's default routes use, and the slot announces them || every slot teardown command runs with SIGINT, SIGTERM and SIGHUP blocked, so a repeated signal cannot cut it short, while acquisition ran with them unblocked || a slot whose cap caused no OOM passes, printing its peak and how often the cap was hit, and reads only the slice's own events, never those of a container's limit below it || an unreadable peak is reported as unrecorded and refuses nothing || a FAILED run whose slice sat at its cap without an OOM keeps its FAILED, since only an OOM is refused, and reports the peak at the cap and how often it was hit	act-ci: interrupted by SIGHUP after cleanup
S04	KILLED	rc=1	the OOM count taken from oom_kill (always 0 in the slice's local file)	failed-arms=a slot with one OOM at its cap and no kill in its own events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked	act-ci: interrupted by SIGHUP after cleanup
S05	KILLED	rc=1	the hierarchical memory.events read instead of the slice's own	failed-arms=acquisition locks the slot, proves it clean, then creates the namespace, memory cap, uplink, firewall and daemon in that order and verifies the daemon || teardown stops the daemon, uplink and slice, reverts the cap, deletes the table and namespace, proves each gone, then unlocks || the firewall allows exactly the interfaces this host's default routes use, and the slot announces them || every slot teardown command runs with SIGINT, SIGTERM and SIGHUP blocked, so a repeated signal cannot cut it short, while acquisition ran with them unblocked || a slot whose cap caused no OOM passes, printing its peak and how often the cap was hit, and reads only the slice's own events, never those of a container's limit below it || a slot with a cap that ran out twice is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a slot with one OOM at its cap and no kill in its own events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || an unreadable peak is reported as unrecorded and refuses nothing || a FAILED run whose slice sat at its cap without an OOM keeps its FAILED, since only an OOM is refused, and reports the peak at the cap and how often it was hit	act-ci: interrupted by SIGHUP after cleanup
S06	KILLED	rc=1	an OOM at the cap ignored	failed-arms=a slot with a cap that ran out twice is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a slot with one OOM at its cap and no kill in its own events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked	act-ci: interrupted by SIGHUP after cleanup
S07	KILLED	rc=1	a single OOM at the cap ignored	failed-arms=a slot with one OOM at its cap and no kill in its own events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked	act-ci: interrupted by SIGHUP after cleanup
S08	KILLED	rc=1	the memory check never runs after the body	failed-arms=teardown stops the daemon, uplink and slice, reverts the cap, deletes the table and namespace, proves each gone, then unlocks || a slot whose cap caused no OOM passes, printing its peak and how often the cap was hit, and reads only the slice's own events, never those of a container's limit below it || a slot with a cap that ran out twice is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a slot with one OOM at its cap and no kill in its own events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a slot with unreadable events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a slot with malformed events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a slot with events without an oom count is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || a slot with events without a max count is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked || an unreadable peak is reported as unrecorded and refuses nothing || a FAILED run whose slice sat at its cap without an OOM keeps its FAILED, since only an OOM is refused, and reports the peak at the cap and how often it was hit	act-ci: interrupted by SIGHUP after cleanup
S09	KILLED	rc=1	a missing oom count read as 0	failed-arms=a slot with events without an oom count is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked	act-ci: interrupted by SIGHUP after cleanup
S10	KILLED	rc=1	the OOM count taken from oom_kill, fixture-matched (oom_group_kill)	failed-arms=a slot with one OOM at its cap and no kill in its own events is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked	act-ci: interrupted by SIGHUP after cleanup
