env GIT_EDITOR=vi	124	CANCELLED: signal 15; no mutation verdict
env GIT_SEQUENCE_EDITOR=vi	124	CANCELLED: signal 15; no mutation verdict
env GIT_AUTHOR_NAME=Dev	124	CANCELLED: signal 15; no mutation verdict
env GIT_COMMITTER_EMAIL=dev@example.invalid	124	CANCELLED: signal 15; no mutation verdict
env GIT_SSH_COMMAND=ssh	124	CANCELLED: signal 15; no mutation verdict
env GIT_ASKPASS=/bin/false	124	CANCELLED: signal 15; no mutation verdict
env GIT_TRACE=0	124	CANCELLED: signal 15; no mutation verdict
env GIT_MERGE_AUTOEDIT=no	124	CANCELLED: signal 15; no mutation verdict
env GIT_INDEX_FILE=<copy>/.git/index	2	REFUSED: Git environment redirects the checkout: GIT_INDEX_FILE
timestamp-only TEST_RESULTS.md (tsn_fuzz output) in hdl/ieee8021as/gptp_plane/doc	124	CANCELLED: signal 15; no mutation verdict
untracked new hdl/common file not in the shadow build	124	CANCELLED: signal 15; no mutation verdict
dirty unrelated hdl/ieee1722 doc file	124	CANCELLED: signal 15; no mutation verdict
