# Hold-sensitivity probe at head 022290e4 (act_slot_proof.sh sha256 939c76db3365fe6a6ef3b6fe08c7a219934bb8f0bf19842d3b3aaa26b09ba1bd). FAKE_HOLD is the stand-in runner's fixed hold (default 3 s),
# read from the environment; the proof's bytes are unchanged. Diagnostic only: the shipped self-test always runs with the 3 s default.
## A. timing: FAKE_HOLD=0 vs 3 (uid1000, one self-test alone)
FAKE_HOLD=0 elapsed 3.0 s, PASS (44 cases); FAKE_HOLD=3 elapsed 25.9 s, PASS (44 cases): the variable reaches the stand-in
## B. scripts/hold_probe.sh, FAKE_HOLD=0, one self-test at a time
FAKE_HOLD=0 mode=uid1000 rep=1 rc=0 | failing cases: none
FAKE_HOLD=0 mode=uid1000 rep=2 rc=0 | failing cases: none
FAKE_HOLD=0 mode=uid1000 rep=3 rc=0 | failing cases: none
FAKE_HOLD=0 mode=uid0 rep=1 rc=0 | failing cases: none
FAKE_HOLD=0 mode=uid0 rep=2 rc=0 | failing cases: none
FAKE_HOLD=0 mode=uid0 rep=3 rc=0 | failing cases: none
## C. FAKE_HOLD=0, 8 self-tests at a time (scripts/run_parallel_mutants.sh), 4 runs per mode
D05 rep=1 mode=uid0 KILLED rc=1 | failing cases: run A dies before taking slot A while run B holds slot B
D05 rep=1 mode=uid1000 KILLED rc=1 | failing cases: run A dies before taking slot A while run B holds slot B
D05 rep=2 mode=uid0 KILLED rc=1 | failing cases: run A dies before taking slot A while run B holds slot B
D05 rep=2 mode=uid1000 KILLED rc=1 | failing cases: run A dies before taking slot A while run B holds slot B
D05 rep=3 mode=uid0 KILLED rc=1 | failing cases: run A dies before taking slot A while run B holds slot B
D05 rep=3 mode=uid1000 KILLED rc=1 | failing cases: honest, where PR B fails its second workflow;run A dies before taking slot A while run B holds slot B
D05 rep=4 mode=uid0 KILLED rc=1 | failing cases: run A dies before taking slot A while run B holds slot B
D05 rep=4 mode=uid1000 KILLED rc=1 | failing cases: run A dies before taking slot A while run B holds slot B
D06 rep=1 mode=uid0 KILLED rc=1 | failing cases: run B dies before taking slot B while run A holds slot A
D06 rep=1 mode=uid1000 KILLED rc=1 | failing cases: run B dies before taking slot B while run A holds slot A
D06 rep=2 mode=uid0 KILLED rc=1 | failing cases: run B dies before taking slot B while run A holds slot A
D06 rep=2 mode=uid1000 KILLED rc=1 | failing cases: run B dies before taking slot B while run A holds slot A
D06 rep=3 mode=uid0 KILLED rc=1 | failing cases: run B dies before taking slot B while run A holds slot A
D06 rep=3 mode=uid1000 KILLED rc=1 | failing cases: honest, where PR B fails its second workflow;run B dies before taking slot B while run A holds slot A
D06 rep=4 mode=uid0 KILLED rc=1 | failing cases: run B dies before taking slot B while run A holds slot A
D06 rep=4 mode=uid1000 KILLED rc=1 | failing cases: honest, where PR B fails its second workflow;run B dies before taking slot B while run A holds slot A
D07 rep=1 mode=uid0 KILLED rc=1 | failing cases: honest, where PR B fails its second workflow;run A is refused after taking slot A, before run B takes slot B
D07 rep=1 mode=uid1000 KILLED rc=1 | failing cases: run A is refused after taking slot A, before run B takes slot B
D07 rep=2 mode=uid0 KILLED rc=1 | failing cases: run A is refused after taking slot A, before run B takes slot B
D07 rep=2 mode=uid1000 KILLED rc=1 | failing cases: run A is refused after taking slot A, before run B takes slot B
D07 rep=3 mode=uid0 KILLED rc=1 | failing cases: honest, where PR B fails its second workflow;run A is refused after taking slot A, before run B takes slot B
D07 rep=3 mode=uid1000 KILLED rc=1 | failing cases: run A is refused after taking slot A, before run B takes slot B
D07 rep=4 mode=uid0 KILLED rc=1 | failing cases: run A is refused after taking slot A, before run B takes slot B
